编号,标题,状态,网友,时间
206996,黄江拥堵路段,待处理,sky.sz,2019-01-18 17:00:35
206995,无牌无证加工，污染环境，噪音扰民。,待处理,阳光照万里,2019-01-18 16:58:27
206992,业主现场测量发现钜隆房产开发的东莞大朗东逸湾（北区）的消防通..,待处理,大朗东逸湾二期,2019-01-18 16:54:39
206991,望牛墩寮厦河污染问题,待处理,terry78,2019-01-18 16:48:12
206989,村道被霸占成私人车位,待处理,cowbboy,2019-01-18 16:46:22
206988,投诉虎门金洲南坊城管锁车并罚款,待处理,peng@ag,2019-01-18 16:45:26
206985,东莞市大朗镇东逸湾（北区）项目，户外体育活动场地214方去了..,待处理,tiantianmm,2019-01-18 16:41:19
206983,石龙镇汇华汽车美容维修中心涉黑问题，请求政府机关处理！,待处理,hongko,2019-01-18 16:38:28
206982, 编号:205507，请“深入调查”再回复好吗？,待处理,qiuqi916,2019-01-18 16:36:45
206981,生活垃圾,待处理,木子李p,2019-01-18 16:34:38
206980,南城鸿福西路万科·东江之星楼盘一天24小时施工，晚上严重扰民,待处理,guamm,2019-01-18 16:33:34
206978,高埗下江城江城西路二街建筑材料乱堆放,待处理,harry93385,2019-01-18 16:30:29
206975,藏在广告牌后的国有土地占用、违建及安全隐患,待处理,qqsofa,2019-01-18 16:24:46
206974,大岭山大塘朗村委会请用实质证据说话，不要脱离群众,待处理,aaa6633,2019-01-18 16:22:41
206973,莞太路管理不合理,待处理,moweisheng,2019-01-18 16:18:24
206972,期末考完试还要补课,待处理,大岭山中学学生,2019-01-18 16:15:28
206971,投诉东莞新奥燃气公司强行禁止用户使用热水器,已受理,蔡美子,2019-01-18 16:13:27
206968,村内巷口乱停车,已受理,新莞人_f1,2019-01-18 16:10:54
206965,请东莞长安乌沙的劳动仲裁处依法行事,待处理,vast516,2019-01-18 15:44:45
206963,我7年前就买了房子有居住证有社保做过志愿者献过血却不能上公办..,已受理,rfsx00,2019-01-18 15:39:30
206960,針對编号为205590号信件之回覆不滿，今補傳圖片，請城管人..,已受理,vincentdeer,2019-01-18 11:58:06
206959,公交车私自更改线路,已受理,ayu0308,2019-01-18 11:57:25
206956,快过年了公司还拖欠5个半月的工资了怎么办呀,已受理,2019lrh,2019-01-18 11:54:09
206954,东莞市常平镇桥南街没有禁停标志，铁骑为何频频过来开罚单？,已受理,twinsyu,2019-01-18 11:53:02
206953,广东东莞大朗韵达快递丢件、不谈赔偿损失,待处理,为非2,2019-01-18 11:52:18
206950,噪音,待处理,青山绿水？？,2019-01-18 11:46:46
206946,御湖半山6栋2楼住户猖狂违建,待处理,dgtx-yh,2019-01-18 11:40:23
206944,华为大巴在松山湖胡乱驾驶！,已受理,特立獨行的豬,2019-01-18 11:38:11
206943,关于联通信号问题,待处理,zhao857,2019-01-18 11:36:59
206942,对道滘关于马嘶塘收费回答不满,已受理,jackyet,2019-01-18 11:34:41
206941,桥头镇桥龙路市政工程施工有头无尾，现场留下一堆隐患，影响城市..,已受理,fancyll,2019-01-18 11:32:45
206940,关于东坑卓越蔚蓝松湖团购金一直未退,待处理,xie2011,2019-01-18 11:30:46
206938,常平居民区一厂房多次投诉噪音问题，至今未解决,已受理,xiaogb,2019-01-18 11:24:35
206937,工商：工资卡变0额度且带有年费的信用卡，办卡10年逾期还款数..,已受理,投诉工商银行,2019-01-18 11:23:59
206936,投诉望牛墩镇交警不作为,已受理,hxxhz08,2019-01-18 11:21:17
206935,我有两个公司，我社保都是在其中一个公司购买的，现在为什么要要..,已受理,jack84826,2019-01-18 11:19:43
206933,莞樟路横坑段美德森东风加油站自动洗车房噪音扰民,已受理,猪猪侠2018,2019-01-18 11:18:23
206931,泰禾新天地（东莞市金泽置业投资有限公司）违规欺骗销售,待处理,uman,2019-01-18 11:12:30
206930,连平社区往旧飞鹅村里面有人私宰狗羊,已受理,莞惠而浦,2019-01-18 11:11:02
206925,投诉西平交警支队违章处理中心,待处理,pearl52085,2019-01-18 11:01:32
206924,举报公司不给职工缴存住房公积金,已受理,正翊天使心,2019-01-18 10:58:42
206923,小区整栋频繁跳闸,待处理,揖清风,2019-01-18 10:53:38
206921,关于住宅小区绿化地围养活鸡产生疫情隐患和异味问题 ,待处理,朵朵706,2019-01-18 10:38:37
206920,艺鸣教育集团炒作幼儿学位，造成家长恐慌,待处理,0769@nx,2019-01-18 10:37:46
206919,关于大岭山镇大塘朗村委会编号:204756的回复不满,已受理,aaa6633,2019-01-18 10:35:09
206918,建筑垃圾和生活垃圾无人清理，车辆乱停放，环境脏乱差,待处理,kaolayo,2019-01-18 10:31:07
206917,新城派出所警号:152024不作为,待处理,万恶魔羯,2019-01-18 10:29:50
206915,关于景湖湾畔二期旁环城路的噪音污染问题,待处理,chenheng929,2019-01-18 10:24:30
206914,国家计委，财政部2001.2002都下文取消管道气收初装费，..,待处理,万恶魔羯,2019-01-18 10:23:04
206913,南城一商铺大型空调、热水器直接装到住户窗户下，噪音扰民!！！..,已受理,阳光问政777,2019-01-18 10:22:02
206912,东莞国药跟天价宰人有什么区别,待处理,叽叽歪歪dg,2019-01-18 10:19:57
206910,无小区大门、无人行道、无地下停车位，无绿化、无公共娱乐设施的..,待处理,tiantianmm,2019-01-17 17:29:31
206909,投诉莞城中心小学分校将公用停车位私自围起来作围自用停车场,待处理,粤s小市民,2019-01-17 17:28:18
206908,御泉香山后面的高松山什么时候改成生态公园，和大王山一体化，让..,已受理,星爱最美小镇,2019-01-17 17:22:26
206902,企石嘉宏锦城靠近快速路 车流量大，货车多，速度快，靠近路边的..,已回复,landc,2019-01-17 16:56:27
206900,东逸湾合同问题,待处理,benly,2019-01-17 16:51:45
206899,本人对大岭山农场社区责任追究的通知不服，请上级政府部门对农场..,已受理,丁葵章dkz,2019-01-17 16:47:27
206898,寮步坑口一工地夜间施工噪音扰民,已受理,特务2000,2019-01-17 16:43:15
206897,车辆解押费问题,已受理,百里苏苏,2019-01-17 16:41:18
206896,东莞市道滘镇昌平虎斗村昌盛粉厂严重扰民  ,已受理,lzhijian88,2019-01-17 16:34:09
206895,再问松山湖月荷湖水体除黑除臭进展,已受理,单纯夏天,2019-01-17 16:24:19
206891,车友驾校欺骗学员,已受理,136860a,2019-01-17 16:16:25
206889,违建,已受理,监督执政,2019-01-17 16:07:04
206888,大岭山镇新汉庭音乐餐吧不开发票，态度恶劣，打税务12366电..,已受理,fcq214,2019-01-17 16:05:22
206886,东莞市顺时塑胶五金制品厂3个月没按规定发放员工工资,已受理,ttxb,2019-01-17 16:03:07
206885,横沥镇六甲村养牛问题,已受理,愤怒的西游,2019-01-17 16:02:11
206882,关于明珠路南海城海鲜池后面违规加建违建问题,已受理,老男人@ag,2019-01-17 15:57:18
206881,环境污染,已受理,kevinfn,2019-01-17 15:56:21
206880,万江严屋社区振兴路铭丰包装厂旁一幅空地 垃圾污染严重,已受理,kelly_8,2019-01-17 15:53:23
206876,东莞农村商业银行,待处理,johnad,2019-01-17 15:47:18
206874,连平社区往旧飞鹅村里面有人私宰狗羊,已受理,莞惠而浦,2019-01-17 15:46:06
206872,东莞南城万科翡丽山三期次卫淋浴玻璃门存在安全隐患，请整改,已受理,yaang,2019-01-17 15:42:10
206871,市民投诉中心工作打马虎眼,待处理,请还我权利,2019-01-17 15:41:06
206870,中国联通东莞分公司私自更改手机套餐,待处理,louis_xu,2019-01-17 15:39:56
206869,关于南城区万科翡丽山三期手机信号弱的情况反映,待处理,zhonghuaseng,2019-01-17 15:36:23
206868,长安镇上角村的智网无素质,待处理,请还我权利,2019-01-17 15:35:50
206867,垃圾成堆，久不处理,已受理,kaolayo,2019-01-17 15:31:05
206865,大岭山马蹄岗村住宅区一硅胶制品厂常年刺激性气味污水无处理直接..,已受理,绿萝子,2019-01-17 11:57:19
206862,投诉东莞农商银行,已受理,li1522,2019-01-17 11:51:06
206861,东莞市中级人民法院判决人防工程归业主全体共有，为何与政府回复..,已受理,sjqx,2019-01-17 11:49:14
206857,"您好,投诉石龙黄家山村委会村村干部",待处理,邓松利,2019-01-17 11:38:44
206853,东莞市虎门镇长城宽带故意拖延并且推脱上门维修,已受理,kk2015,2019-01-17 11:22:01
206850,塘厦塘坑水库严重污染、湖水发绿、发臭，水面上盖了较厚的一层薄..,已受理,hqit075,2019-01-17 11:16:26
206849,黄江镇现代印象出售人防车位,已受理,perfec,2019-01-17 11:14:08
206846,大岭山镇杨屋村中惠沁林山庄管理处私自违建玻璃房作为租售中心，..,已受理,66@88,2019-01-17 11:05:08
206844,大岭山镇矮岭冚村村民侵占集体土地处理不了了之,已受理,飞一般感觉,2019-01-17 11:01:23
206843,车管所交警邮寄费用过高,已受理,adison_,2019-01-17 10:59:13
206842,东莞市横沥镇东兴工业园区在市政规划路涉黑收停车费,待处理,zh-0916,2019-01-17 10:58:16
206841,东莞横沥镇新城南路违法停车,已受理,大热天,2019-01-17 10:57:27
206840,人民币发行70周年纪念钞被抽号问题,已受理,terry78,2019-01-17 10:56:31
206838,橫瀝金馬路至煤氣站段路面嚴重損壞，過往車輛避開路面坑洞時對行..,已受理,tda,2019-01-17 10:55:09
206836,“汽车钱包”微信公众平台涉嫌存在车辆加油充值卡服务方面虚假宣..,已受理,klatze,2019-01-17 10:50:11
206834,无论到哪里，都有“电瓶车横冲直撞”，安全隐患严重,已受理,大波浪,2019-01-17 10:45:17
206831,酒吧音乐扰民，死灰复燃,已受理,dltank,2019-01-17 10:41:34
206830,路边诈骗,已回复,黄佩玲啊,2019-01-17 10:39:49
206829,环保问题,已受理,一这个,2019-01-17 10:36:35
206825,山和疯狂泥头车，地动山摇,已受理,黑黑的打工仔,2019-01-17 10:28:02
206823,投诉锦华大厦物业-东莞市佳源物业有限公司非法动用业主公共场地..,待处理,小市民大视野,2019-01-17 10:24:51
206822,高埗镇振兴南路地面下沉严重---高埗邮政局至高埗文华酒店路段,已受理,chally8290,2019-01-17 10:23:22
206819,中国移动信号变的极差,已受理,1238567,2019-01-16 17:19:24
206813,寮步横坑横星路、松溪路道路井盖噪音严重扰民,已受理,elax,2019-01-16 17:10:08
206812,车辆乱停放,已受理,sys艺,2019-01-16 17:08:32
206811,投诉东莞松山湖的士乱收费,已受理,oodoo,2019-01-16 17:04:43
206810,自建房超过限定层数,已受理,issac_w,2019-01-16 17:03:45
206807,东莞麦仕鞋业技术服务有限公司不按照最新《劳动法》及国务院发布..,已受理,尼古拉斯汪帅,2019-01-16 16:52:25
206806,寮步交通分局不作为。收到我的投诉意见反馈没有与本人联系。没有..,已回复,高黎明,2019-01-16 16:50:56
206803,那条法律可以随意没收公民个人财产,待处理,dglsyun,2019-01-16 16:40:39
206800,黄江大道商店（MO.LIES）噪音扰民何时休,已受理,gyc165,2019-01-16 16:30:47
206799,继续投诉中国移动东莞分公司物业缴费组,已回复,笃笃q,2019-01-16 16:29:39
206798,厚街镇德雷克海鲜自助餐厅拖欠工资不发，被主管贪了,已受理,朝昼夕夜,2019-01-16 16:20:24
206797,长安镇锦厦社区村民私围公家地没人管,待处理,kk2737,2019-01-16 16:16:55
206796,松山湖3b路线公交是华为专线吗？,已受理,mr1311,2019-01-16 16:15:30
206795,虎门国税局工作人员能不能给多点耐心,已受理,灏忓皬鏉?07,2019-01-16 16:14:05
206793,投诉江畔湾东门烧烤店露天排放，监管形同虚设         ..,已受理,麻涌有心人,2019-01-16 16:07:42
206791,石排镇石排大道260号工地通宵施工,已受理,快被吵死,2019-01-16 15:50:24
206790,投诉厚街镇顺德农庄未取得卫生许可证从事食品经营活动,待处理,heartzz,2019-01-16 15:48:06
206785,厨房房顶漏水应该谁来维修,已受理,jzldzx,2019-01-16 15:33:36
206784,第三次投诉东莞移动的霸王条款,待处理,夏日火炉,2019-01-16 15:30:07
206783,中惠松湖城3期霸王条款拒绝退定,已受理,巨有钱,2019-01-16 15:26:43
206782,松山湖交警设计不合理,已受理,gd788,2019-01-16 15:23:59
206780,14路公交车A1960公交到站不停,已受理,康小姐ky,2019-01-16 15:19:47
206778,关于万江江滨花园小区商铺经营游戏机的问题,已受理,菠萝蜜1,2019-01-16 15:18:32
206777,追薪,已受理,空心菜26,2019-01-16 15:17:26
206776,常平强拆所有居民燃气热水器,已受理,eby,2019-01-16 15:02:06
206774,塘厦分局户政科办事及其敷衍,已受理,load22,2019-01-16 14:59:07
206772,电梯内违规装设电子广告屏,已受理,scuttopk,2019-01-16 14:47:15
206771,有毒喷漆严重威胁我们的健康,已受理,金色的波浪,2019-01-16 12:02:33
206769,社保卡激活,已受理,gartex,2019-01-16 11:48:33
206768,东莞市青年国际旅行社有限公司春节不按国家规定节假日放假，加班..,已受理,qqaibox,2019-01-16 11:47:02
206767,大岭山百盛街起市美乐多变质,已受理,丁丁历险记录表,2019-01-16 11:44:18
206766,维修道路导致交通不方便 ,已受理,yin@yf,2019-01-16 11:41:34
206765,虎门永新街地处繁荣商业区，卫生环境差，油污满地，多次投诉，毫..,已受理,ash-ash,2019-01-16 11:39:17
206764,已超出报建层数小产权房为何可以断续向上抢建,已受理,yesmizhng,2019-01-16 11:37:45
206763,小区噪音扰民,已受理,黄河大合唱,2019-01-16 11:32:41
206762,常平伯爵派对ktv侵犯消费者权益,已受理,小小小小大大,2019-01-16 11:29:30
206761,公司不签劳动合同随意克扣员工工资且不予辞职,已受理,陈贵明,2019-01-16 11:27:37
206759,东莞茶山南社南天百货无故欠拖员工工资,已受理,lilixiu,2019-01-16 11:12:29
206758,举报东莞市智乐堡儿童玩具有限公司不给职工缴纳住房公积金,已受理,正翊天使心,2019-01-16 11:09:37
206757,联通无法兑换腾讯视频会员,待处理,64派,2019-01-16 11:02:19
206754,唯斯塑制品有限公司拖欠工资,已受理,xhs268,2019-01-16 10:51:22
206752,东华高中高一校区天桥红绿灯附近垃圾焚烧气味弥散校园影响师生健..,已受理,abeluo,2019-01-16 10:47:36
206751,对教育局的回复不满意,已受理,古诗代,2019-01-16 10:46:15
206749,莞城区运河东三路的中国石化胜和加油站出口很多小车长期违章乱停,已受理,张朝义,2019-01-16 10:42:09
206748,虎门长堤路乱停车问题,已受理,zhxm,2019-01-16 10:36:17
206746,噪音及油烟,已受理,judy11,2019-01-16 10:31:27
206745,横沥环卫车清早扰民休息,已受理,吴长国,2019-01-16 10:21:59
206743,工厂门前通讯电线长时间无人处理事项,待处理,山高人为峰@1,2019-01-16 10:17:30
206742,信用卡信息业务,已受理,668803,2019-01-16 10:16:27
206741,关于莞城草塘小区停车问题,已受理,山楂饼,2019-01-15 17:44:10
206739,整改后的瓷砖与原来的严重不协调，横、坚线严重不对齐,已受理,quixote,2019-01-15 17:31:44
206736,工业噪音扰民,已受理,assdd,2019-01-15 17:24:55
206735,石碣镇五株电子厂顶楼机器噪音24小时严重影响居民生活,已受理,kimm,2019-01-15 17:22:38
206733,南城新基香园路泊寓2店公寓旁边鞋厂异味严重，危害健康,已受理,ququ123,2019-01-15 17:20:44
206732,报建申批不合理,待处理,hyymo,2019-01-15 17:19:52
206731,塘厦社保局这边问他们问题各种不耐烦,已受理,z工口,2019-01-15 17:06:52
206729,占道经营,已受理,小童声,2019-01-15 17:03:54
206728,关于东莞市黄江镇星光城沃尔玛噪音扰民问题,已受理,w@y,2019-01-15 17:02:20
206725,关于东莞市黄江镇星光城沃尔玛违规改变住宅用途,已受理,w@y,2019-01-15 16:44:27
